id,sex,ethgroup,age,m_non,f_non,m_self,f_self,grpsize,group,mascpref,obro,osis,ybro,ysis,birthorder
t043,female,white,18,2.6666667,4.3333333,0,6,7,7,2.5,0,1,0,0,lastborn
t044,female,white,18,2.1666667,2,2,3,7,6,2.045454545,0,0,0,1,firstborn
t046,female,white,19,3.3333333,1.8333333,2,2,7,7,2.772727273,4,1,0,0,lastborn
t048,female,west_asian,19,2.8333333,3.3333333,6,4,7,2,3.272727273,0,1,0,0,lastborn
t049,female,white,18,2.6666667,1.8333333,5,3,7,6,1.954545455,1,0,2,0,middleborn
t050,female,white,19,4,3.8333333,4,5,7,6,4.227272727,1,0,0,1,middleborn
t053,female,white,19,3.3333333,3.6666667,4,4,7,6,3.863636364,0,2,0,3,middleborn
t056,female,white,19,2.3333333,4.3333333,4,6,7,7,3.181818182,0,1,0,0,lastborn
t057,female,east_asian,19,3.6666667,4,4,4,7,5,2.818181818,0,0,0,0,only
t058,female,west_asian,19,3.5,4,3,4,7,2,4.045454545,0,1,1,1,middleborn
t059,female,west_asian,18,3.5,3.6666667,4,4,7,2,3.136363636,1,1,0,0,lastborn
t060,female,west_asian,18,4.1666667,3.1666667,2,5,7,2,3.045454545,0,1,0,1,middleborn
t061,female,white,20,4,2.3333333,4,4,4,9,2.954545455,0,0,1,2,firstborn
t062,female,east_asian,20,2,5,3,6,2,8,3.363636364,1,0,0,0,lastborn
t063,female,east_asian,20,2.6666667,2.5,2,2,7,5,3.545454545,0,0,1,1,firstborn
t064,female,east_asian,20,3.1666667,3.5,3,2,7,5,3.363636364,0,0,1,0,firstborn
t065,female,east_asian,22,2.6666667,2.5,2,4,7,5,3.590909091,1,0,0,0,lastborn
t066,female,white,19,3.8333333,3.1666667,4,5,7,6,3.909090909,2,0,0,0,lastborn
t067,female,white,19,3.3333333,4.6666667,2,3,7,6,1.727272727,0,0,1,0,firstborn
t068,female,east_asian,20,1.1666667,1.6666667,5,6,7,3,2.909090909,0,0,1,0,firstborn
t069,female,east_asian,19,2,2.6666667,4,3,7,3,3.181818182,1,0,0,0,lastborn
t070,female,white,18,3,2.6666667,5,1,4,9,1.772727273,0,1,0,0,lastborn
t071,female,east_asian,19,3,1.3333333,3,2,7,5,3.409090909,0,0,0,1,firstborn
t073,female,east_asian,19,3.1666667,4.6666667,4,4,7,5,2.909090909,0,0,1,0,firstborn
